id,cluster
Zn1Cl2_sg143_icsd_151889_1,335
Zn1Sb2S6_sg163_icsd_050381_1,335
Mg1Hf1Cl2S2_sg166_icsd_085781_3,335
Zn1Cl2_sg2_icsd_081814_1,335
Mg1Cl2_sg143_icsd_151889_1,335
Zn1Br2_sg164_icsd_280743_1,335
Mg1Cl2_sg164_icsd_280743_1,335
Mg1Br2_sg8_icsd_061423_1,335
Mg1Br2_sg15_icsd_042134_1,335
Zn1Cl2_sg14_icsd_421221_1,335
Mg1Br2_sg166_icsd_024757_1,335
Zn1I2_sg14_icsd_421221_1,335
Zn1Cl2_sg12_icsd_023892_1,335
Zn1I2_sg164_icsd_020745_1,335
Zn1Ti1Br2S2_sg166_icsd_085781_3,335
Mg1Cl2_sg12_icsd_023892_1,335
Zn1Br2_sg147_icsd_058847_1,335
Zn1Cl2_sg164_icsd_020745_1,335
Mg1Cl2_sg2_icsd_051572_1,335
Zn1I2_sg186_icsd_043003_1,335
Zn1Br2_sg143_icsd_200593_1,335
Mg1Cl2_sg166_icsd_024757_1,335
Mg1Cl2_sg147_icsd_058847_1,335
Mg1Br2_sg143_icsd_151889_1,335
Mg1Br2_sg164_icsd_280743_1,335
Mg1Br2_sg147_icsd_058847_1,335
Zn1I2_sg5_icsd_068713_1,335
Zn1Br2_sg164_icsd_020745_1,335
Zn1Cl2_sg2_icsd_051572_1,335
Zn1Cl2_sg166_icsd_024755_1,335
Zn1I2_sg164_icsd_108924_1,335
Zn1I2_sg164_icsd_280743_1,335
Mg1Cl2_sg70_icsd_418163_1,335
Zn1Br2_sg12_icsd_023892_1,335
Zn1Br2_sg164_icsd_651214_1,335
Zn1Sb2S6_sg164_icsd_030348_1,335
Mg1Br2_sg2_icsd_051572_1,335
Zn1Cl2_sg166_icsd_024757_1,335
Zn1Cl2_sg71_icsd_038274_1,335
Zn1Sb2S6_sg148_icsd_078683_1,335
Zn1Br2_sg143_icsd_151889_1,335
Zn1Sb2S6_sg148_icsd_156662_1,335
Zn1Br2_sg164_icsd_108924_1,335
Zn1I2_sg166_icsd_078698_1,335
Zn1I2_sg71_icsd_038274_1,335
Mg1Br2_sg164_icsd_108924_1,335
Mg1Cl2_sg186_icsd_043003_1,335
Mg1Br2_sg164_icsd_651214_1,335
Mg1Br2_sg164_icsd_020745_1,335
